approach,mechanism,missingratio,n,nrmse,r2,LR_mse
MICE,MAR,0.3,18,0.0241041097299,0.264227786051,0.00789949101874
MICE,MAR,0.3,19,0.0612294896417,0.182693253086,0.00877487241893
MICE,MAR,0.3,2,0.0211200312281,0.00490554806815,0.0106836593402
MICE,MAR,0.3,3,0.0575985973255,0.288312884088,0.0076409055326
MICE,MAR,0.3,4,0.055531292997,0.186155565821,0.00873769989755
MICE,MAR,0.3,5,0.0272074718329,0.0338565926,0.0103728314618
MICE,MAR,0.3,6,0.0209734002771,0.104104512103,0.00961862683341
MICE,MAR,0.3,7,0.0238599907112,0.426514484761,0.00615712796858
MICE,MAR,0.3,8,0.0472783795571,0.130333134811,0.00933702776567
MICE,MAR,0.3,9,0.0567991873355,0.000356602507168,0.0107324983068
MICE,MAR,0.5,0,0.0275784887683,0.12745341111,0.00936794542073
MICE,MAR,0.5,1,0.0536502853141,0.229966411596,0.0082673323352
MICE,MAR,0.5,10,0.0527981388016,0.0867673339614,0.0098047644456
MICE,MAR,0.5,11,0.0249625019819,0.228589812761,0.00828211195032
MICE,MAR,0.5,12,0.0239542909267,0.176259505621,0.00884394723496
MICE,MAR,0.5,13,0.052951261352,0.301109355444,0.00750351843285
MICE,MAR,0.5,14,0.0523137457281,0.204965764848,0.0085357474516
MICE,MAR,0.5,15,0.0232764444331,0.286721211249,0.00765799425253
MICE,MAR,0.5,16,0.0249080589313,0.329729666416,0.00719624141805
MICE,MAR,0.5,17,0.0543669047393,0.436666201309,0.00604813582104
MICE,MAR,0.5,18,0.0446834134384,0.369542338323,0.00676879955738
MICE,MAR,0.5,19,0.0256347571008,0.157430133499,0.00904610552953
MICE,MAR,0.5,2,0.0541519378379,0.219618405017,0.00837843191667
MICE,MAR,0.5,3,0.0384049159296,0.0513934902049,0.0101845495962
MICE,MAR,0.5,4,0.0258537017287,0.229762640781,0.00826952008528
MICE,MAR,0.5,5,0.0365105505523,-0.0150293296928,0.0108976867047
MICE,MAR,0.5,6,0.0275054303536,0.202607856106,0.00856106273067
MICE,MAR,0.5,7,0.0235014787651,0.237823637624,0.00818297458797
MICE,MAR,0.5,8,0.0236004478,0.140787810383,0.00922478295101
MICE,MAR,0.5,9,0.0539222262035,0.260835992031,0.00793590642814
MICE,MAR,0.7,0,0.0495410085023,0.236409544812,0.00819815675068
MICE,MAR,0.7,1,0.0502410764006,0.157612939773,0.00904414286161
MICE,MAR,0.7,10,0.0583090455812,0.385365514839,0.00659891676159
MICE,MAR,0.7,11,0.0483637792449,0.460002551152,0.00579758914028
MICE,MAR,0.7,12,0.0501411588564,0.262538782715,0.0079176247107
MICE,MAR,0.7,13,0.061687369246,0.407179817668,0.00636471127514
MICE,MAR,0.7,14,0.0513987699677,-0.0741561652672,0.0115324917405
MICE,MAR,0.7,15,0.0525499356202,-0.38524000005,0.0148723894865
MICE,MAR,0.7,16,0.0592288432829,0.451535876773,0.00588849012424
MICE,MAR,0.7,17,0.0498378343933,0.109598516569,0.00955964140543
MICE,MAR,0.7,18,0.0512918004141,0.334440743906,0.00714566175003
