Approach, Missing Data Mechanism, Missing Ratio, RMSE
MissForest,MAR,0.5,0.0512592805
GAINCredit,MAR,0.7,0.1511920546
MostFrequent,MAR,0.7,0.1012430528
MeanImputation,MAR,0.7,0.0901489781
MICE,MAR,0.7,0.0686959722
MissForest,MAR,0.7,0.0483359201
GAINCredit,MCAR,0.1,0.0635798865
MostFrequent,MCAR,0.1,0.4687217997
MeanImputation,MCAR,0.1,0.1070244743
MICE,MCAR,0.1,0.0546657515
MissForest,MCAR,0.1,0.0333504287
GAINCredit,MCAR,0.3,0.1051431679
MostFrequent,MCAR,0.3,0.4393522675
MeanImputation,MCAR,0.3,0.142418642
MICE,MCAR,0.3,0.0557915024
MissForest,MCAR,0.3,0.03505584
GAINCredit,MCAR,0.5,0.232315641
MostFrequent,MCAR,0.5,0.315567557
MeanImputation,MCAR,0.5,0.1658129452
MICE,MCAR,0.5,0.057495578
MissForest,MCAR,0.5,0.0390050088
GAINCredit,MCAR,0.7,0.0779013412
MostFrequent,MCAR,0.7,0.1979351039
MeanImputation,MCAR,0.7,0.1443382339
MICE,MCAR,0.7,0.0623199899
MissForest,MCAR,0.7,0.045757342
GAINCredit,MAR,0.1,0.0821497609
MostFrequent,MAR,0.1,0.7479798023
MeanImputation,MAR,0.1,0.2011726758
MICE,MAR,0.1,0.0766429296
MissForest,MAR,0.1,0.0461357249
GAINCredit,MAR,0.3,0.0964159209
MostFrequent,MAR,0.3,0.9072379857
MeanImputation,MAR,0.3,0.5354854163
MICE,MAR,0.3,0.0294860541
MissForest,MAR,0.3,0.0198458893
GAINCredit,MAR,0.5,0.1681294395
MostFrequent,MAR,0.5,0.3581567621
MeanImputation,MAR,0.5,0.2820466214
MICE,MAR,0.5,0.0677588841
MissForest,MAR,0.5,0.047475568
GAINCredit,MAR,0.7,0.1517015467
MostFrequent,MAR,0.7,0.8325393173
MeanImputation,MAR,0.7,0.7756987492
MICE,MAR,0.7,0.0572958993
MissForest,MAR,0.7,0.0423748616
GAINCredit,MCAR,0.1,0.0670002701
MostFrequent,MCAR,0.1,0.513020778
MeanImputation,MCAR,0.1,0.1057423647
MICE,MCAR,0.1,0.0541651116
MissForest,MCAR,0.1,0.0332833191
GAINCredit,MCAR,0.3,0.0860708424
MostFrequent,MCAR,0.3,0.1522343822
MeanImputation,MCAR,0.3,0.0704654342
MICE,MCAR,0.3,0.0545766957
MissForest,MCAR,0.3,0.0347289497
GAINCredit,MCAR,0.5,0.2477657909
MostFrequent,MCAR,0.5,0.18202887
MeanImputation,MCAR,0.5,0.103360546
MICE,MCAR,0.5,0.0576350127
MissForest,MCAR,0.5,0.0390509896
GAINCredit,MCAR,0.7,0.1105588373
MostFrequent,MCAR,0.7,0.1076419169
MeanImputation,MCAR,0.7,0.0853835848
MICE,MCAR,0.7,0.0622777419
MissForest,MCAR,0.7,0.0455227791
GAINCredit,MAR,0.1,0.0682481825
MostFrequent,MAR,0.1,0.3935514672
MeanImputation,MAR,0.1,0.1467780014
MICE,MAR,0.1,0.0287689989
MissForest,MAR,0.1,0.015728374
GAINCredit,MAR,0.3,0.1703908715
MostFrequent,MAR,0.3,0.4623282532
MeanImputation,MAR,0.3,0.261622332
MICE,MAR,0.3,0.0277395202
MissForest,MAR,0.3,0.0182590636
GAINCredit,MAR,0.5,0.3374926374
MostFrequent,MAR,0.5,0.2831177485
MeanImputation,MAR,0.5,0.2347251818
MICE,MAR,0.5,0.0294525758
MissForest,MAR,0.5,0.0218925393
GAINCredit,MAR,0.7,0.4172730379
MostFrequent,MAR,0.7,0.2957860511
MeanImputation,MAR,0.7,0.2702121087
MICE,MAR,0.7,0.0644526942
MissForest,MAR,0.7,0.0497901279
GAINCredit,MCAR,0.1,0.0502256543
MostFrequent,MCAR,0.1,0.1723080871
MeanImputation,MCAR,0.1,0.0668205468
MICE,MCAR,0.1,0.0541797472
MissForest,MCAR,0.1,0.0338261257
GAINCredit,MCAR,0.3,0.0788613365
MostFrequent,MCAR,0.3,0.1584356428
MeanImputation,MCAR,0.3,0.0718476741
MICE,MCAR,0.3,0.0555378452
MissForest,MCAR,0.3,0.0352815176
GAINCredit,MCAR,0.5,0.1802905069
MostFrequent,MCAR,0.5,0.2883927875
MeanImputation,MCAR,0.5,0.1519911372
MICE,MCAR,0.5,0.0573567031
MissForest,MCAR,0.5,0.0399153215
GAINCredit,MCAR,0.7,0.0930018144
MostFrequent,MCAR,0.7,0.5069406574
MeanImputation,MCAR,0.7,0.3566609607
MICE,MCAR,0.7,0.0625110446
MissForest,MCAR,0.7,0.0460611053
GAINCredit,MAR,0.1,0.024874243
MostFrequent,MAR,0.1,0.1823039673
MeanImputation,MAR,0.1,0.0688273903
MICE,MAR,0.1,0.0258249909
MissForest,MAR,0.1,0.0146609427
GAINCredit,MAR,0.3,0.0415365672
MostFrequent,MAR,0.3,0.193251861
MeanImputation,MAR,0.3,0.1137284188
MICE,MAR,0.3,0.0272254841
MissForest,MAR,0.3,0.0190830135
GAINCredit,MAR,0.5,0.1112889983
MostFrequent,MAR,0.5,0.8356828563
MeanImputation,MAR,0.5,0.6155646749
MICE,MAR,0.5,0.0335671498
MissForest,MAR,0.5,0.0239263768
GAINCredit,MAR,0.7,0.2308655473
MostFrequent,MAR,0.7,0.184645969
MeanImputation,MAR,0.7,0.1675270773
MICE,MAR,0.7,0.0654341268
MissForest,MAR,0.7,0.0520726546
GAINCredit,MCAR,0.1,0.0901472695
MostFrequent,MCAR,0.1,0.0886038855
MeanImputation,MCAR,0.1,0.0589057114
MICE,MCAR,0.1,0.0542542277
MissForest,MCAR,0.1,0.0333793762
GAINCredit,MCAR,0.3,0.1065938793
MostFrequent,MCAR,0.3,0.6768869162
MeanImputation,MCAR,0.3,0.2104236493
MICE,MCAR,0.3,0.0555866123
MissForest,MCAR,0.3,0.0350832371
GAINCredit,MCAR,0.5,0.2260691701
MostFrequent,MCAR,0.5,0.1493153725
MeanImputation,MCAR,0.5,0.0890678812
MICE,MCAR,0.5,0.058260613
MissForest,MCAR,0.5,0.0388926012
GAINCredit,MCAR,0.7,0.2036317111
MostFrequent,MCAR,0.7,0.1158244819
MeanImputation,MCAR,0.7,0.0904578753
MICE,MCAR,0.7,0.0624616876
MissForest,MCAR,0.7,0.0452772994
GAINCredit,MAR,0.1,0.082790486
MostFrequent,MAR,0.1,0.1086538112
MeanImputation,MAR,0.1,0.0789586424
MICE,MAR,0.1,0.0858750703
MissForest,MAR,0.1,0.0525132208
GAINCredit,MAR,0.3,0.1229670174
MostFrequent,MAR,0.3,0.5699769677
MeanImputation,MAR,0.3,0.3745264974
MICE,MAR,0.3,0.073879761
MissForest,MAR,0.3,0.0493901239
GAINCredit,MAR,0.5,0.1836616593
MostFrequent,MAR,0.5,0.5700153673
MeanImputation,MAR,0.5,0.4917031862
MICE,MAR,0.5,0.0694726003
MissForest,MAR,0.5,0.0495089003
GAINCredit,MAR,0.7,0.2097281566
MostFrequent,MAR,0.7,0.1204636374
MeanImputation,MAR,0.7,0.1109276864
MICE,MAR,0.7,0.0647105357
MissForest,MAR,0.7,0.0491769887
GAINCredit,MCAR,0.1,0.0769235388
MostFrequent,MCAR,0.1,0.4506206905
MeanImputation,MCAR,0.1,0.0965196745
MICE,MCAR,0.1,0.0539884563
MissForest,MCAR,0.1,0.0330431887
GAINCredit,MCAR,0.3,0.0740388316
MostFrequent,MCAR,0.3,0.8694251343
MeanImputation,MCAR,0.3,0.2657577604
MICE,MCAR,0.3,0.0550713238
MissForest,MCAR,0.3,0.0352437782
GAINCredit,MCAR,0.5,0.0654554596
MostFrequent,MCAR,0.5,0.884836111
MeanImputation,MCAR,0.5,0.4462699088
